+-----+----------------+----------------+------+-------+-----+----------+
| id  |     caller     |    receiver    | year | month | day | duration |
| 235 | (357) 555-0246 | (502) 555-6712 | 2021 | 7     | 28  | 305      |
| 236 | (367) 555-5533 | (344) 555-9601 | 2021 | 7     | 28  | 120      |
| 237 | (394) 555-3247 | (035) 555-2997 | 2021 | 7     | 28  | 111      |
| 238 | (839) 555-1757 | (487) 555-5865 | 2021 | 7     | 28  | 278      |
| 239 | (770) 555-1196 | (324) 555-0416 | 2021 | 7     | 28  | 527      |
| 240 | (636) 555-4198 | (670) 555-8598 | 2021 | 7     | 28  | 69       |
| 241 | (068) 555-0183 | (770) 555-1861 | 2021 | 7     | 28  | 371      |
| 242 | (711) 555-3007 | (113) 555-7544 | 2021 | 7     | 28  | 157      |
| 243 | (060) 555-2489 | (204) 555-4136 | 2021 | 7     | 28  | 510      |
| 244 | (704) 555-2131 | (891) 555-5672 | 2021 | 7     | 28  | 103      |
| 245 | (367) 555-5533 | (022) 555-4052 | 2021 | 7     | 28  | 241      |
| 246 | (873) 555-3868 | (047) 555-0577 | 2021 | 7     | 28  | 109      |
| 247 | (867) 555-9103 | (068) 555-0183 | 2021 | 7     | 28  | 116      |
| 248 | (608) 555-9302 | (725) 555-3243 | 2021 | 7     | 28  | 280      |
| 249 | (901) 555-8732 | (491) 555-2505 | 2021 | 7     | 28  | 451      |
| 250 | (478) 555-1565 | (717) 555-1342 | 2021 | 7     | 28  | 573      |
| 251 | (499) 555-9472 | (717) 555-1342 | 2021 | 7     | 28  | 50       |
| 252 | (695) 555-0348 | (338) 555-6650 | 2021 | 7     | 28  | 383      |
| 253 | (696) 555-9195 | (258) 555-5627 | 2021 | 7     | 28  | 525      |
| 254 | (286) 555-6063 | (676) 555-6554 | 2021 | 7     | 28  | 43       |
| 255 | (770) 555-1861 | (725) 555-3243 | 2021 | 7     | 28  | 49       |
| 256 | (711) 555-3007 | (147) 555-6818 | 2021 | 7     | 28  | 358      |
| 257 | (725) 555-4692 | (821) 555-5262 | 2021 | 7     | 28  | 456      |
| 258 | (324) 555-0416 | (452) 555-8550 | 2021 | 7     | 28  | 328      |
| 259 | (234) 555-1294 | (772) 555-5770 | 2021 | 7     | 28  | 573      |
| 260 | (669) 555-6918 | (971) 555-6468 | 2021 | 7     | 28  | 67       |
| 261 | (031) 555-6622 | (910) 555-3251 | 2021 | 7     | 28  | 38       |
| 262 | (342) 555-9260 | (219) 555-0139 | 2021 | 7     | 28  | 404      |
| 263 | (342) 555-9260 | (487) 555-5865 | 2021 | 7     | 28  | 560      |
| 264 | (801) 555-9266 | (608) 555-9302 | 2021 | 7     | 28  | 425      |
| 265 | (398) 555-1013 | (329) 555-5870 | 2021 | 7     | 28  | 237      |
| 266 | (016) 555-9166 | (336) 555-0077 | 2021 | 7     | 28  | 88       |
| 267 | (594) 555-2863 | (491) 555-2505 | 2021 | 7     | 28  | 361      |
| 268 | (122) 555-4581 | (831) 555-0973 | 2021 | 7     | 28  | 491      |
| 269 | (914) 555-5994 | (973) 555-3809 | 2021 | 7     | 28  | 320      |
| 270 | (258) 555-5627 | (695) 555-0348 | 2021 | 7     | 28  | 368      |
| 271 | (751) 555-6567 | (594) 555-6254 | 2021 | 7     | 28  | 61       |
| 272 | (771) 555-7880 | (711) 555-3007 | 2021 | 7     | 28  | 288      |
| 273 | (219) 555-0139 | (867) 555-9103 | 2021 | 7     | 28  | 514      |
| 274 | (676) 555-6554 | (328) 555-9658 | 2021 | 7     | 28  | 153      |
| 275 | (749) 555-4874 | (492) 555-5484 | 2021 | 7     | 28  | 575      |
| 276 | (328) 555-9658 | (775) 555-7584 | 2021 | 7     | 28  | 579      |
| 277 | (219) 555-0139 | (910) 555-3251 | 2021 | 7     | 28  | 121      |
| 278 | (380) 555-4380 | (680) 555-4935 | 2021 | 7     | 28  | 550      |
| 279 | (826) 555-1652 | (066) 555-9701 | 2021 | 7     | 28  | 55       |
| 280 | (594) 555-6254 | (123) 555-5144 | 2021 | 7     | 28  | 346      |
| 281 | (338) 555-6650 | (704) 555-2131 | 2021 | 7     | 28  | 54       |
| 282 | (971) 555-6468 | (258) 555-5627 | 2021 | 7     | 28  | 441      |
| 283 | (730) 555-5115 | (343) 555-0167 | 2021 | 7     | 28  | 101      |
| 284 | (286) 555-6063 | (310) 555-8568 | 2021 | 7     | 28  | 235      |
| 285 | (367) 555-5533 | (704) 555-5790 | 2021 | 7     | 28  | 75       |
| 286 | (041) 555-4011 | (609) 555-5876 | 2021 | 7     | 28  | 565      |
| 287 | (478) 555-1565 | (031) 555-6622 | 2021 | 7     | 28  | 398      |
+-----+----------------+----------------+------+-------+-----+----------+
