+-----+------+-------+-----+----------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id  | year | month | day |        street        |                                                                                                       description                                                                                                        |
| 23  | 2021 | 1     | 10  | Carvalho Road        | Theft took place at 01:15. Two people witnessed the event.                                                                                                                                                               |
| 24  | 2021 | 1     | 11  | Stonebraker Road     | Shoplifting took place at 13:23. No known witnesses.                                                                                                                                                                     |
| 25  | 2021 | 1     | 11  | Lloyd Lane           | Wire fraud took place at 10:38. One person witnessed the incident.                                                                                                                                                       |
| 26  | 2021 | 1     | 11  | Carvalho Road        | Forgery took place at 23:28. Two people witnessed the event.                                                                                                                                                             |
| 27  | 2021 | 1     | 12  | Boyce Avenue         | Theft took place at 16:51. Two people witnessed the event.                                                                                                                                                               |
| 28  | 2021 | 1     | 12  | Chartier Road        | Burglary took place at 12:57. One person witnessed the incident.                                                                                                                                                         |
| 29  | 2021 | 1     | 13  | Carvalho Road        | Credit card fraud took place at 11:12. No known witnesses.                                                                                                                                                               |
| 30  | 2021 | 1     | 13  | Aydede Lane          | Expired parking meter took place at 22:55. One person witnessed the incident.                                                                                                                                            |
| 31  | 2021 | 1     | 16  | Axmark Road          | Vandalism took place at 16:41. No known witnesses.                                                                                                                                                                       |
| 32  | 2021 | 1     | 17  | Stonebraker Road     | Insider trading took place at 23:24. Two people witnessed the event.                                                                                                                                                     |
| 33  | 2021 | 1     | 17  | Chamberlin Street    | Littering took place at 05:46. One person witnessed the incident.                                                                                                                                                        |
| 34  | 2021 | 1     | 17  | Codd Street          | Reckless driving took place at 00:52. One person witnessed the incident.                                                                                                                                                 |
| 35  | 2021 | 1     | 17  | Codd Street          | Money laundering took place at 22:49. Two people witnessed the event.                                                                                                                                                    |
| 36  | 2021 | 1     | 17  | Larsson Lane         | Jaywalking took place at 21:38. One person witnessed the incident.                                                                                                                                                       |
| 37  | 2021 | 1     | 17  | Bowden Boulevard     | Vandalism took place at 04:51. One person witnessed the incident.                                                                                                                                                        |
| 38  | 2021 | 1     | 20  | Lloyd Lane           | Wire fraud took place at 10:31. One person witnessed the incident.                                                                                                                                                       |
| 39  | 2021 | 1     | 20  | Axmark Road          | Burglary took place at 02:22. Two people witnessed the event.                                                                                                                                                            |
| 40  | 2021 | 1     | 21  | Humphrey Lane        | Shoplifting took place at 22:02. Two people witnessed the event.                                                                                                                                                         |
| 41  | 2021 | 1     | 22  | Fifer Street         | Wire fraud took place at 15:42. One person witnessed the incident.                                                                                                                                                       |
| 42  | 2021 | 1     | 23  | Humphrey Lane        | Expired parking meter took place at 09:47. One person witnessed the incident.                                                                                                                                            |
| 43  | 2021 | 1     | 24  | Guimaraes Drive      | Burglary took place at 10:53. Two people witnessed the event.                                                                                                                                                            |
| 44  | 2021 | 1     | 25  | Aydede Lane          | Jaywalking took place at 08:53. Two people witnessed the event.                                                                                                                                                          |
| 45  | 2021 | 1     | 27  | Fifer Street         | Money laundering took place at 19:53. One person witnessed the incident.                                                                                                                                                 |
| 46  | 2021 | 1     | 27  | Axmark Road          | Forgery took place at 05:50. One person witnessed the incident.                                                                                                                                                          |
| 47  | 2021 | 1     | 28  | Widenius Street      | Bank robbery took place at 09:43. One person witnessed the incident.                                                                                                                                                     |
| 48  | 2021 | 1     | 28  | Blumberg Boulevard   | Bank robbery took place at 09:13. No known witnesses.                                                                                                                                                                    |
| 49  | 2021 | 2     | 1   | Zlatkova Street      | Theft took place at 03:25. No known witnesses.                                                                                                                                                                           |
| 50  | 2021 | 2     | 1   | Carreiro Avenue      | Money laundering took place at 15:48. One person witnessed the incident.                                                                                                                                                 |
| 51  | 2021 | 2     | 2   | Hipp Boulevard       | Insider trading took place at 08:46. Two people witnessed the event.                                                                                                                                                     |
| 52  | 2021 | 2     | 4   | Chamberlin Street    | Wire fraud took place at 23:32. One person witnessed the incident.                                                                                                                                                       |
| 53  | 2021 | 2     | 4   | Fifer Street         | Vandalism took place at 07:57. One person witnessed the incident.                                                                                                                                                        |
| 54  | 2021 | 2     | 4   | Lloyd Lane           | Credit card fraud took place at 07:43. One person witnessed the incident.                                                                                                                                                |
| 55  | 2021 | 2     | 4   | Daboin Sanchez Drive | Expired parking meter took place at 02:26. Two people witnessed the event.                                                                                                                                               |
| 56  | 2021 | 2     | 4   | MacWilliam Road      | Money laundering took place at 23:18. No known witnesses.                                                                                                                                                                |
| 57  | 2021 | 2     | 5   | Zlatkova Street      | Jaywalking took place at 21:43. One person witnessed the incident.                                                                                                                                                       |
| 58  | 2021 | 2     | 5   | Axmark Road          | Expired parking meter took place at 03:21. One person witnessed the incident.                                                                                                                                            |
| 59  | 2021 | 2     | 6   | Bowden Boulevard     | Littering took place at 20:58. No known witnesses.                                                                                                                                                                       |
| 60  | 2021 | 2     | 6   | Yamashita Avenue     | Forgery took place at 12:24. One person witnessed the incident.                                                                                                                                                          |
| 61  | 2021 | 2     | 7   | Larsson Lane         | Expired parking meter took place at 06:30. No known witnesses.                                                                                                                                                           |
| 62  | 2021 | 2     | 8   | Hipp Boulevard       | Insider trading took place at 05:43. Two people witnessed the event.                                                                                                                                                     |
| 63  | 2021 | 2     | 8   | Codd Street          | Littering took place at 05:09. One person witnessed the incident.                                                                                                                                                        |
| 64  | 2021 | 2     | 9   | Widenius Street      | Vandalism took place at 18:19. No known witnesses.                                                                                                                                                                       |
| 65  | 2021 | 2     | 11  | Larsson Lane         | Insider trading took place at 13:14. No known witnesses.                                                                                                                                                                 |
| 66  | 2021 | 2     | 12  | Blumberg Boulevard   | Vandalism took place at 18:15. Two people witnessed the event.                                                                                                                                                           |
| 67  | 2021 | 2     | 14  | Axmark Road          | Money laundering took place at 12:35. One person witnessed the incident.                                                                                                                                                 |
| 68  | 2021 | 2     | 15  | Guimaraes Drive      | Bank robbery took place at 08:49. Two people witnessed the event.                                                                                                                                                        |
| 69  | 2021 | 2     | 16  | Blumberg Boulevard   | Bank robbery took place at 21:41. No known witnesses.                                                                                                                                                                    |
| 70  | 2021 | 2     | 17  | Hipp Boulevard       | Shoplifting took place at 10:27. Two people witnessed the event.                                                                                                                                                         |
| 71  | 2021 | 2     | 19  | Stonebraker Road     | Theft took place at 11:54. Two people witnessed the event.                                                                                                                                                               |
| 72  | 2021 | 2     | 19  | Fifer Street         | Jaywalking took place at 01:40. Two people witnessed the event.                                                                                                                                                          |
| 73  | 2021 | 2     | 20  | Codd Street          | Wire fraud took place at 04:55. No known witnesses.                                                                                                                                                                      |
| 74  | 2021 | 2     | 20  | Boyce Avenue         | Wire fraud took place at 18:37. No known witnesses.                                                                                                                                                                      |
| 75  | 2021 | 2     | 22  | Guimaraes Drive      | Credit card fraud took place at 01:32. Two people witnessed the event.                                                                                                                                                   |
| 76  | 2021 | 2     | 22  | Humphrey Lane        | Shoplifting took place at 06:11. Two people witnessed the event.                                                                                                                                                         |
| 77  | 2021 | 2     | 22  | Daboin Sanchez Drive | Credit card fraud took place at 12:26. No known witnesses.                                                                                                                                                               |
| 78  | 2021 | 2     | 25  | Aydede Lane          | Burglary took place at 13:08. Two people witnessed the event.                                                                                                                                                            |
| 79  | 2021 | 2     | 25  | Stonebraker Road     | Bank robbery took place at 04:05. One person witnessed the incident.                                                                                                                                                     |
| 80  | 2021 | 2     | 26  | Humphrey Street      | Theft took place at 03:11. Two people witnessed the event.                                                                                                                                                               |
| 81  | 2021 | 2     | 26  | Daboin Sanchez Drive | Insider trading took place at 14:06. One person witnessed the incident.                                                                                                                                                  |
| 82  | 2021 | 2     | 27  | Carreiro Avenue      | Money laundering took place at 17:54. Two people witnessed the event.                                                                                                                                                    |
| 83  | 2021 | 2     | 28  | Larsson Lane         | Reckless driving took place at 22:02. No known witnesses.                                                                                                                                                                |
| 84  | 2021 | 2     | 28  | Daboin Sanchez Drive | Forgery took place at 21:34. One person witnessed the incident.                                                                                                                                                          |
| 85  | 2021 | 2     | 28  | Carreiro Avenue      | Wire fraud took place at 01:22. No known witnesses.                                                                                                                                                                      |
| 86  | 2021 | 3     | 1   | Guimaraes Drive      | Insider trading took place at 17:19. One person witnessed the incident.                                                                                                                                                  |
| 87  | 2021 | 3     | 2   | Bowden Boulevard     | Littering took place at 07:40. One person witnessed the incident.                                                                                                                                                        |
| 88  | 2021 | 3     | 2   | Hipp Boulevard       | Credit card fraud took place at 22:11. No known witnesses.                                                                                                                                                               |
| 89  | 2021 | 3     | 4   | Widenius Street      | Reckless driving took place at 21:04. No known witnesses.                                                                                                                                                                |
| 90  | 2021 | 3     | 4   | Chamberlin Street    | Wire fraud took place at 11:48. Two people witnessed the event.                                                                                                                                                          |
| 91  | 2021 | 3     | 5   | Bowden Boulevard     | Bank robbery took place at 07:46. One person witnessed the incident.                                                                                                                                                     |
| 92  | 2021 | 3     | 5   | Stonebraker Road     | Forgery took place at 21:10. No known witnesses.                                                                                                                                                                         |
| 93  | 2021 | 3     | 5   | Chartier Road        | Jaywalking took place at 08:07. One person witnessed the incident.                                                                                                                                                       |
| 94  | 2021 | 3     | 5   | Zlatkova Street      | Forgery took place at 06:31. Two people witnessed the event.                                                                                                                                                             |
| 95  | 2021 | 3     | 8   | Aydede Lane          | Burglary took place at 20:14. Two people witnessed the event.                                                                                                                                                            |
| 96  | 2021 | 3     | 8   | Fifer Street         | Burglary took place at 23:15. No known witnesses.                                                                                                                                                                        |
| 97  | 2021 | 3     | 10  | Bowden Boulevard     | Theft took place at 14:39. No known witnesses.                                                                                                                                                                           |
| 98  | 2021 | 3     | 10  | Chamberlin Street    | Littering took place at 16:46. Two people witnessed the event.                                                                                                                                                           |
| 99  | 2021 | 3     | 11  | MacWilliam Road      | Jaywalking took place at 11:51. Two people witnessed the event.                                                                                                                                                          |
| 100 | 2021 | 3     | 11  | Hipp Boulevard       | Vandalism took place at 14:47. One person witnessed the incident.                                                                                                                                                        |
| 101 | 2021 | 3     | 12  | Yamashita Avenue     | Theft took place at 18:55. One person witnessed the incident.                                                                                                                                                            |
| 102 | 2021 | 3     | 13  | Axmark Road          | Theft took place at 09:36. Two people witnessed the event.                                                                                                                                                               |
| 103 | 2021 | 3     | 14  | Stonebraker Road     | Wire fraud took place at 15:08. No known witnesses.                                                                                                                                                                      |
| 104 | 2021 | 3     | 15  | Chamberlin Street    | Bank robbery took place at 12:38. One person witnessed the incident.                                                                                                                                                     |
| 105 | 2021 | 3     | 16  | Zlatkova Street      | Insider trading took place at 23:10. Two people witnessed the event.                                                                                                                                                     |
| 106 | 2021 | 3     | 16  | Carvalho Road        | Jaywalking took place at 20:07. Two people witnessed the event.                                                                                                                                                          |
| 107 | 2021 | 3     | 16  | Lloyd Lane           | Jaywalking took place at 01:49. Two people witnessed the event.                                                                                                                                                          |
| 108 | 2021 | 3     | 17  | Codd Street          | Bank robbery took place at 22:39. One person witnessed the incident.                                                                                                                                                     |
| 109 | 2021 | 3     | 18  | Hipp Boulevard       | Jaywalking took place at 09:21. Two people witnessed the event.                                                                                                                                                          |
| 110 | 2021 | 3     | 18  | Widenius Street      | Littering took place at 02:17. No known witnesses.                                                                                                                                                                       |
| 111 | 2021 | 3     | 20  | MacWilliam Road      | Credit card fraud took place at 23:37. One person witnessed the incident.                                                                                                                                                |
| 112 | 2021 | 3     | 20  | Carreiro Avenue      | Vandalism took place at 08:39. No known witnesses.                                                                                                                                                                       |
| 113 | 2021 | 3     | 20  | Humphrey Street      | Credit card fraud took place at 08:41. One person witnessed the incident.                                                                                                                                                |
| 114 | 2021 | 3     | 21  | Humphrey Lane        | Theft took place at 12:14. No known witnesses.                                                                                                                                                                           |
| 115 | 2021 | 3     | 22  | Guimaraes Drive      | Expired parking meter took place at 22:17. No known witnesses.                                                                                                                                                           |
| 116 | 2021 | 3     | 23  | Chartier Road        | Money laundering took place at 13:05. No known witnesses.                                                                                                                                                                |
| 117 | 2021 | 3     | 23  | Stonebraker Road     | Littering took place at 05:09. One person witnessed the incident.                                                                                                                                                        |
| 118 | 2021 | 3     | 24  | Larsson Lane         | Burglary took place at 02:13. No known witnesses.                                                                                                                                                                        |
| 119 | 2021 | 3     | 24  | Blumberg Boulevard   | Jaywalking took place at 13:18. No known witnesses.                                                                                                                                                                      |
| 120 | 2021 | 3     | 25  | Chamberlin Street    | Burglary took place at 07:21. One person witnessed the incident.                                                                                                                                                         |
| 121 | 2021 | 3     | 25  | Carreiro Avenue      | Theft took place at 23:17. No known witnesses.                                                                                                                                                                           |
| 122 | 2021 | 3     | 27  | Yamashita Avenue     | Burglary took place at 09:25. No known witnesses.                                                                                                                                                                        |
| 123 | 2021 | 3     | 28  | Widenius Street      | Burglary took place at 09:19. No known witnesses.                                                                                                                                                                        |
| 124 | 2021 | 4     | 1   | Boyce Avenue         | Theft took place at 01:06. No known witnesses.                                                                                                                                                                           |
| 125 | 2021 | 4     | 2   | Yamashita Avenue     | Credit card fraud took place at 08:24. One person witnessed the incident.                                                                                                                                                |
| 126 | 2021 | 4     | 3   | Chartier Road        | Jaywalking took place at 03:54. No known witnesses.                                                                                                                                                                      |
| 127 | 2021 | 4     | 3   | Chamberlin Street    | Money laundering took place at 10:24. Two people witnessed the event.                                                                                                                                                    |
| 128 | 2021 | 4     | 4   | Humphrey Street      | Expired parking meter took place at 03:17. Two people witnessed the event.                                                                                                                                               |
| 129 | 2021 | 4     | 4   | Codd Street          | Vandalism took place at 21:22. One person witnessed the incident.                                                                                                                                                        |
| 130 | 2021 | 4     | 6   | Guimaraes Drive      | Vandalism took place at 11:49. No known witnesses.                                                                                                                                                                       |
| 131 | 2021 | 4     | 12  | Larsson Lane         | Burglary took place at 08:27. Two people witnessed the event.                                                                                                                                                            |
| 132 | 2021 | 4     | 12  | Stonebraker Road     | Credit card fraud took place at 18:03. Two people witnessed the event.                                                                                                                                                   |
| 133 | 2021 | 4     | 13  | Hipp Boulevard       | Insider trading took place at 01:41. One person witnessed the incident.                                                                                                                                                  |
| 134 | 2021 | 4     | 13  | Aydede Lane          | Insider trading took place at 04:28. Two people witnessed the event.                                                                                                                                                     |
| 135 | 2021 | 4     | 14  | Codd Street          | Money laundering took place at 02:27. Two people witnessed the event.                                                                                                                                                    |
| 136 | 2021 | 4     | 14  | Guimaraes Drive      | Littering took place at 21:47. Two people witnessed the event.                                                                                                                                                           |
| 137 | 2021 | 4     | 17  | Axmark Road          | Insider trading took place at 12:58. No known witnesses.                                                                                                                                                                 |
| 138 | 2021 | 4     | 19  | Daboin Sanchez Drive | Expired parking meter took place at 13:25. One person witnessed the incident.                                                                                                                                            |
| 139 | 2021 | 4     | 20  | Lloyd Lane           | Expired parking meter took place at 11:05. One person witnessed the incident.                                                                                                                                            |
| 140 | 2021 | 4     | 20  | Widenius Street      | Burglary took place at 10:14. No known witnesses.                                                                                                                                                                        |
| 141 | 2021 | 4     | 21  | Blumberg Boulevard   | Forgery took place at 04:54. One person witnessed the incident.                                                                                                                                                          |
| 142 | 2021 | 4     | 22  | Hipp Boulevard       | Reckless driving took place at 15:51. One person witnessed the incident.                                                                                                                                                 |
| 143 | 2021 | 4     | 24  | Fifer Street         | Bank robbery took place at 07:40. One person witnessed the incident.                                                                                                                                                     |
| 144 | 2021 | 4     | 24  | Guimaraes Drive      | Bank robbery took place at 00:13. Two people witnessed the event.                                                                                                                                                        |
| 145 | 2021 | 4     | 26  | Carvalho Road        | Reckless driving took place at 15:56. Two people witnessed the event.                                                                                                                                                    |
| 146 | 2021 | 4     | 27  | Daboin Sanchez Drive | Bank robbery took place at 17:43. One person witnessed the incident.                                                                                                                                                     |
| 147 | 2021 | 4     | 27  | Codd Street          | Insider trading took place at 23:06. No known witnesses.                                                                                                                                                                 |
| 148 | 2021 | 4     | 27  | Chartier Road        | Shoplifting took place at 16:40. No known witnesses.                                                                                                                                                                     |
| 149 | 2021 | 4     | 28  | Zlatkova Street      | Forgery took place at 08:13. One person witnessed the incident.                                                                                                                                                          |
| 150 | 2021 | 5     | 1   | Fifer Street         | Jaywalking took place at 23:21. One person witnessed the incident.                                                                                                                                                       |
| 151 | 2021 | 5     | 1   | Yamashita Avenue     | Reckless driving took place at 03:03. No known witnesses.                                                                                                                                                                |
| 152 | 2021 | 5     | 1   | Stonebraker Road     | Shoplifting took place at 04:38. Two people witnessed the event.                                                                                                                                                         |
| 153 | 2021 | 5     | 2   | Hipp Boulevard       | Expired parking meter took place at 06:13. No known witnesses.                                                                                                                                                           |
| 154 | 2021 | 5     | 3   | Carreiro Avenue      | Expired parking meter took place at 01:42. No known witnesses.                                                                                                                                                           |
| 155 | 2021 | 5     | 3   | Carvalho Road        | Theft took place at 06:38. Two people witnessed the event.                                                                                                                                                               |
| 156 | 2021 | 5     | 5   | Hipp Boulevard       | Reckless driving took place at 20:00. No known witnesses.                                                                                                                                                                |
| 157 | 2021 | 5     | 6   | Chamberlin Street    | Jaywalking took place at 06:52. Two people witnessed the event.                                                                                                                                                          |
| 158 | 2021 | 5     | 7   | Axmark Road          | Credit card fraud took place at 05:46. No known witnesses.                                                                                                                                                               |
| 159 | 2021 | 5     | 8   | Guimaraes Drive      | Vandalism took place at 13:08. No known witnesses.                                                                                                                                                                       |
| 160 | 2021 | 5     | 9   | Guimaraes Drive      | Littering took place at 15:40. No known witnesses.                                                                                                                                                                       |
| 161 | 2021 | 5     | 9   | Carreiro Avenue      | Expired parking meter took place at 08:03. No known witnesses.                                                                                                                                                           |
| 162 | 2021 | 5     | 10  | Chamberlin Street    | Vandalism took place at 12:37. One person witnessed the incident.                                                                                                                                                        |
| 163 | 2021 | 5     | 10  | Widenius Street      | Money laundering took place at 18:24. No known witnesses.                                                                                                                                                                |
| 164 | 2021 | 5     | 11  | Stonebraker Road     | Reckless driving took place at 05:43. One person witnessed the incident.                                                                                                                                                 |
| 165 | 2021 | 5     | 12  | Blumberg Boulevard   | Shoplifting took place at 04:15. No known witnesses.                                                                                                                                                                     |
| 166 | 2021 | 5     | 13  | Carvalho Road        | Reckless driving took place at 11:29. One person witnessed the incident.                                                                                                                                                 |
| 167 | 2021 | 5     | 13  | Lloyd Lane           | Reckless driving took place at 07:46. Two people witnessed the event.                                                                                                                                                    |
| 168 | 2021 | 5     | 14  | Codd Street          | Credit card fraud took place at 21:14. Two people witnessed the event.                                                                                                                                                   |
| 169 | 2021 | 5     | 14  | Stonebraker Road     | Jaywalking took place at 21:07. No known witnesses.                                                                                                                                                                      |
| 170 | 2021 | 5     | 16  | Codd Street          | Forgery took place at 15:22. One person witnessed the incident.                                                                                                                                                          |
| 171 | 2021 | 5     | 16  | Aydede Lane          | Expired parking meter took place at 12:04. Two people witnessed the event.                                                                                                                                               |
| 172 | 2021 | 5     | 17  | Stonebraker Road     | Insider trading took place at 01:40. No known witnesses.                                                                                                                                                                 |
| 173 | 2021 | 5     | 17  | Boyce Avenue         | Jaywalking took place at 08:03. Two people witnessed the event.                                                                                                                                                          |
| 174 | 2021 | 5     | 17  | Boyce Avenue         | Vandalism took place at 15:17. Two people witnessed the event.                                                                                                                                                           |
| 175 | 2021 | 5     | 19  | MacWilliam Road      | Wire fraud took place at 13:56. One person witnessed the incident.                                                                                                                                                       |
| 176 | 2021 | 5     | 20  | Chartier Road        | Credit card fraud took place at 07:59. Two people witnessed the event.                                                                                                                                                   |
| 177 | 2021 | 5     | 20  | Lloyd Lane           | Insider trading took place at 06:41. One person witnessed the incident.                                                                                                                                                  |
| 178 | 2021 | 5     | 21  | Humphrey Lane        | Shoplifting took place at 17:39. Two people witnessed the event.                                                                                                                                                         |
| 179 | 2021 | 5     | 22  | Guimaraes Drive      | Jaywalking took place at 09:14. One person witnessed the incident.                                                                                                                                                       |
| 180 | 2021 | 5     | 22  | Chartier Road        | Burglary took place at 01:54. Two people witnessed the event.                                                                                                                                                            |
| 181 | 2021 | 5     | 22  | Humphrey Lane        | Bank robbery took place at 18:53. Two people witnessed the event.                                                                                                                                                        |
| 182 | 2021 | 5     | 23  | Hipp Boulevard       | Theft took place at 10:46. One person witnessed the incident.                                                                                                                                                            |
| 183 | 2021 | 5     | 24  | Boyce Avenue         | Littering took place at 11:32. One person witnessed the incident.                                                                                                                                                        |
| 184 | 2021 | 5     | 24  | Larsson Lane         | Burglary took place at 19:01. No known witnesses.                                                                                                                                                                        |
| 185 | 2021 | 5     | 27  | MacWilliam Road      | Shoplifting took place at 06:55. Two people witnessed the event.                                                                                                                                                         |
| 186 | 2021 | 5     | 27  | Chamberlin Street    | Insider trading took place at 14:36. One person witnessed the incident.                                                                                                                                                  |
| 187 | 2021 | 5     | 28  | MacWilliam Road      | Theft took place at 23:50. No known witnesses.                                                                                                                                                                           |
| 188 | 2021 | 5     | 28  | Carvalho Road        | Theft took place at 22:40. One person witnessed the incident.                                                                                                                                                            |
| 189 | 2021 | 5     | 28  | Widenius Street      | Theft took place at 10:02. No known witnesses.                                                                                                                                                                           |
| 190 | 2021 | 6     | 1   | Guimaraes Drive      | Littering took place at 13:27. Two people witnessed the event.                                                                                                                                                           |
| 191 | 2021 | 6     | 1   | Yamashita Avenue     | Wire fraud took place at 17:10. One person witnessed the incident.                                                                                                                                                       |
| 192 | 2021 | 6     | 1   | Aydede Lane          | Theft took place at 15:04. One person witnessed the incident.                                                                                                                                                            |
| 193 | 2021 | 6     | 1   | Axmark Road          | Vandalism took place at 20:09. No known witnesses.                                                                                                                                                                       |
| 194 | 2021 | 6     | 1   | Zlatkova Street      | Money laundering took place at 06:41. One person witnessed the incident.                                                                                                                                                 |
| 195 | 2021 | 6     | 2   | Aydede Lane          | Reckless driving took place at 14:28. No known witnesses.                                                                                                                                                                |
| 196 | 2021 | 6     | 4   | Daboin Sanchez Drive | Burglary took place at 20:26. No known witnesses.                                                                                                                                                                        |
| 197 | 2021 | 6     | 5   | Carvalho Road        | Reckless driving took place at 07:33. One person witnessed the incident.                                                                                                                                                 |
| 198 | 2021 | 6     | 5   | Zlatkova Street      | Insider trading took place at 02:14. Two people witnessed the event.                                                                                                                                                     |
| 199 | 2021 | 6     | 5   | MacWilliam Road      | Littering took place at 05:40. No known witnesses.                                                                                                                                                                       |
| 200 | 2021 | 6     | 5   | Larsson Lane         | Reckless driving took place at 23:18. No known witnesses.                                                                                                                                                                |
| 201 | 2021 | 6     | 6   | Yamashita Avenue     | Burglary took place at 01:31. No known witnesses.                                                                                                                                                                        |
| 202 | 2021 | 6     | 8   | Widenius Street      | Forgery took place at 07:27. No known witnesses.                                                                                                                                                                         |
| 203 | 2021 | 6     | 8   | MacWilliam Road      | Insider trading took place at 00:18. Two people witnessed the event.                                                                                                                                                     |
| 204 | 2021 | 6     | 8   | Chamberlin Street    | Jaywalking took place at 01:39. Two people witnessed the event.                                                                                                                                                          |
| 205 | 2021 | 6     | 9   | Codd Street          | Vandalism took place at 08:25. One person witnessed the incident.                                                                                                                                                        |
| 206 | 2021 | 6     | 11  | MacWilliam Road      | Shoplifting took place at 01:48. One person witnessed the incident.                                                                                                                                                      |
| 207 | 2021 | 6     | 11  | MacWilliam Road      | Littering took place at 18:16. Two people witnessed the event.                                                                                                                                                           |
| 208 | 2021 | 6     | 12  | Yamashita Avenue     | Reckless driving took place at 18:32. No known witnesses.                                                                                                                                                                |
| 209 | 2021 | 6     | 12  | Blumberg Boulevard   | Credit card fraud took place at 04:31. No known witnesses.                                                                                                                                                               |
| 210 | 2021 | 6     | 13  | Blumberg Boulevard   | Reckless driving took place at 09:34. One person witnessed the incident.                                                                                                                                                 |
| 211 | 2021 | 6     | 13  | Yamashita Avenue     | Reckless driving took place at 09:00. No known witnesses.                                                                                                                                                                |
| 212 | 2021 | 6     | 14  | Larsson Lane         | Credit card fraud took place at 14:17. Two people witnessed the event.                                                                                                                                                   |
| 213 | 2021 | 6     | 14  | Carreiro Avenue      | Shoplifting took place at 17:05. Two people witnessed the event.                                                                                                                                                         |
| 214 | 2021 | 6     | 16  | Hipp Boulevard       | Littering took place at 18:33. Two people witnessed the event.                                                                                                                                                           |
| 215 | 2021 | 6     | 16  | Bowden Boulevard     | Jaywalking took place at 14:08. Two people witnessed the event.                                                                                                                                                          |
| 216 | 2021 | 6     | 16  | Blumberg Boulevard   | Credit card fraud took place at 16:09. Two people witnessed the event.                                                                                                                                                   |
| 217 | 2021 | 6     | 18  | Larsson Lane         | Shoplifting took place at 03:02. One person witnessed the incident.                                                                                                                                                      |
| 218 | 2021 | 6     | 18  | Aydede Lane          | Expired parking meter took place at 14:03. No known witnesses.                                                                                                                                                           |
| 219 | 2021 | 6     | 19  | Fifer Street         | Wire fraud took place at 02:57. No known witnesses.                                                                                                                                                                      |
| 220 | 2021 | 6     | 19  | Fifer Street         | Forgery took place at 09:37. No known witnesses.                                                                                                                                                                         |
| 221 | 2021 | 6     | 20  | Boyce Avenue         | Vandalism took place at 22:08. Two people witnessed the event.                                                                                                                                                           |
